,price,retail_price,units_sold,uses_ad_boosts,rating,rating_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,merchant_rating_count,merchant_rating,merchant_has_profile_picture,product_url,limited_quantity,discount,no_urgency,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,origin_m,origin_other,origin_s,origin_xs,origin_CN,origin_US,origin_VE,origin_other,origin_m,origin_other,origin_s,origin_xs
84,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,11548.0,3191.0,1632.0,507.0,566.0,0,1,0,0,0,0,0,1,0,1,0,0
85,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,593.0,278.0,232.0,124.0,177.0,0,1,0,0,0,0,0,1,0,1,0,0
86,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,163.0,63.0,48.0,21.0,46.0,0,1,0,0,0,0,0,1,0,1,0,0
87,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,2054.0,774.0,576.0,242.0,329.0,0,1,0,0,0,0,0,1,0,1,0,0
88,12.0,17,5000,0,3.94,387,0,0,0,0,"Summer,Fashion,cottontee,Sleeve,Tops & Tees,Leopard,short sleeves,Shorts,Round neck,T Shirts,lipsshirt,lip,Tops & T-Shirts,Casual Tops,Women's Fashion,Casual,Women Fashion,Women",s,50,Livraison standard,3,0,43,50,1288,3.978260869565217,0,https://www.wish.com/c/5e5f5289a950c34147f0d94b,0,0,1,189.0,76.0,67.0,21.0,34.0,0,0,1,0,1,0,0,0,0,0,1,0
89,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,1635.0,642.0,392.0,177.0,224.0,0,1,0,0,0,0,0,1,0,1,0,0
90,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,19.0,5.0,5.0,1.0,1.0,0,1,0,0,0,0,0,1,0,1,0,0
91,11.0,10,100,1,3.46,50,0,0,0,0,"Summer,trousers,Casual pants,pants,Bottom,fashion pants,chiffonpant,Long pants,widelegpant,harem pants,summerpant,Plus Size,printed,Women's Fashion,Casual,Women",s,50,Livraison standard,3,0,41,50,225438,4.301120485454981,0,https://www.wish.com/c/5d5d038d99df1e17cc9313cf,1,0,0,20.0,7.0,8.0,6.0,9.0,0,0,1,0,1,0,0,0,0,0,1,0
92,5.77,48,100000,0,4.1,20744,0,0,0,0,"Mini,Strapless Dress,Spaghetti Strap,Tank,Tops,slim,tank top,Mini dress,Women's Fashion,Fashion,Women,Dress,sleevelessdresse,bodycon,Spaghetti,Casual,casual dress",xs,50,Livraison standard,2,0,46,50,330405,4.06734764909732,1,https://www.wish.com/c/544b079d1280fa28eee9b380,0,0,1,11184.0,4152.0,2919.0,1174.0,1315.0,0,0,0,1,1,0,0,0,0,0,0,1
93,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,0,0,1,1726.0,654.0,568.0,324.0,548.0,0,1,0,0,0,0,0,1,0,1,0,0
